Citation,Biome,Myc,N,Experiment,Site,depth,Cstock.amb,Cstock.elev,POM.amb,POM.elev,POM.amb.se,POM.elev.se,POM.amb.n,POM.elev.n,POM Units,MAOM.amb,MAOM.elev,MAOM.amb.se,MAOM.elev.se,MAOM.amb.n,MAOM.elev.n,MAOM Units
Iversen et al. 2012,Temperate forest,AM,,,ORNL FACE,0-5,3370,3850,11,13.6,1.1,3.7,3,2,kg C / m3,18.5,20.1,0.9,1.7,3,2,kg C / m3
Pendall et al. 2011,Grassland,AM,,C3,TasFACE,0-5,3528,4248,8.1,10.7,0.5,1,3,3,g C /kg soil,14.3,16.3,1,1.1,3,3,g C /kg soil
Pendall et al. 2012,Grassland,AM,,C4,TasFACE,0-5,3528,4248,10.6,15.5,3.3,4.3,3,3,g C /kg soil,16.7,17.4,3.2,0.6,3,3,g C /kg soil
Jastrow et al. 2005 (unpublished data derived from fractionations used in this paper),Grassland,AM,,,KSU open top,0-5,2181,2372,21.04394,25.81026,1.350879,0,6,3,g C/ kg soil,27.83165,26.76812,0.640368,1.219617,6,3,g C/ kg soil
Six et al. 2001 Plant and Soil,grassland,AM,,Lolium,SwissFACE,0-10,3448.8,4653.6,467,638,52,12,3,3,g C / m2,2944,2990,456.9683,439.164,3,3,g C / m2
Six et al. 2001 Plant and Soil,grassland,Nfixer,,Trifolium,SwissFACE,0-10,3489.6,3230.4,641,582,80,45,3,3,g C / m2,2984,3149,607.2924,801.2646,3,3,g C / m2
Niklaus et al. 2001,grassland,AM,,,Switzerland-bromus grassland,0-10,4179,4234,650,519,53,33,8,8,g C / m2,3090,3147,229,146,8,8,g C / m2
Allard2005,Grassland,AM,,,New Zealand FACE,0-25,2216.5,2519.5,2.7,3.1,0.1,0.1,3,3,g C / kg soil,33.2,34.9,1.2,1.6,3,3,g C / kg soil
Lichter et al. 2005,Temperate forest,ECM,,,Duke FACE,0-15,2164,2096,2274.9,2573.4,146.0501,233.9501,3,3,gC/m2,326.3,326.9,62.7,28.8,3,3,gC/m2
Hofmockel et al. 2011,Temperate forest,ECM,,Aspen,Rhinelander FACE,0-20,3318.6,2894,991.52,968.63,25.82539,27.34204,2,2,g/m2,2887.5,2827.34,43.75,65.63,2,2,g/m2
Hofmockel et al. 2013,Temperate forest,ECM,,Aspen-Birch,Rhinelander FACE,0-20,3035.6,2776.7,913.11,1069.71,29.77181,50.46848,2,2,g/m2,2696.09,2947.66,54.69,136.72,2,2,g/m2
Hungate et al. 2013,subtropical woodland,ECM,,,Merritt Island,0-60,1512,1411,5247.4,4771.3,555.1693,465.3629,8,8,g/m2,1672.1,1422.9,1033.946,343.4781,8,8,g/m2
Del Galdo et al. 2006,chaparral,ECM,,,Sky Oaks,0-10,3397,2494,2403,1537,655.8689,273.6786,2,2,g / m2,756,632,76.92204,44.19276,2,2,g / m2
Hoosbeek and Scarascia-Mugnozza 2009,Temperate forest,ECM,,Populus alba,POP-EuroFACE,0-10,1524,1487,259.72,329.34,12.97,29.06,6,6,g / m2,1264.08,1302.4,82.86,35.44,3,3,g / m2
Hoosbeek and Scarascia-Mugnozza 2009,Temperate forest,ECM,,Populus nigra,POP-EuroFACE,0-10,1534,1342,362.24,334.43,24.41,6.35,6,6,g / m2,1321.72,1407.73,36.93,24.43,3,3,g / m2
Hoosbeek and Scarascia-Mugnozza 2009,Temperate forest,ECM,,Populus euramericana,POP-EuroFACE,0-10,1405,1171,373,356.31,39.22,1.64,6,6,g / m2,1430.27,1331.26,13.85,93.53,3,3,g / m2
Pendall (unpublished),Grassland,AM,,,Colorado OTC,0-5,1177,1182,303.1,288.8,17,27.5,3,3,g / m2,267.7,264.4,40.1,13.5,3,3,g / m2
Hoosbeek et al. 2011,Temperate forest,ECM,,Betula pendula,BangorFACE,0-10,3066,3122.5,1022.47,1238.53,123.36,207.95,4,4,g / m2,2043.53,1883.97,,,4,4,g / m2
Hoosbeek et al. 2011,Temperate forest,ECM,,Alnus glutinosa,BangorFACE,0-10,3355.8,3142.9,928.58,1245.54,95.82,55.95,4,4,g / m2,2427.22,1897.36,,,4,4,g / m2
Hoosbeek et al. 2011,Temperate forest,ECM,,Fagus sylvatica,BangorFACE,0-10,3687.5,3474.5,922.2,981.33,122.52,96.26,4,4,g / m2,2765.3,2493.17,,,4,4,g / m2