Site,Cplant,Cabove,Csoil,type,SE.soil,N,var
DUKE,0.106221546,0.099718638,0.021569011,modeled,0.00521421,3,
KSCO,0.267976385,0.30670076,0.130463145,modeled,0.080760342,8,
NDFF,0.188391393,0.13083254,0.040865233,modeled,0.019757677,3,
ORNL,0.130828414,0.128677993,0.032929357,modeled,0.010347279,3,
PHAC,0.171623562,0.165950063,0.033705238,modeled,0.018205465,5,
RHIN,0.168571774,0.142793614,0.025303817,modeled,0.011288333,3,
DUKE,0.189653473,0.189653473,-0.031927595,observed,0.062993846,3,0.011904674
KSCO,0.512905125,0.512905125,-0.069134605,observed,0.039377079,8,0.012404435
NDFF,-0.0840831,-0.0840831,0.319116064,observed,0.068622856,3,0.014127289
ORNL,0.014600539,0.014600539,0.133160404,observed,0.044716283,2,0.003999092
PHAC,0.088701602,0.088701602,0.048527864,observed,0.104425137,5,0.054523046
RHIN,0.358712243,0.358712243,-0.113024653,observed,0.05890251,3,0.010408517